ID,carrierNumber,tagID,dieNumber,quantity,updateDate,currentLocation,destination,status,originationLocation,buffer,productionRunNumber,productionRunTimestamp
647,647,0,999,0,2011-12-01 15:21:17.321,2005,2003,0,11900,1,999,2011-11-30 17:29:26.330
649,649,0,66,12,2011-12-02 20:15:17.484,1232,1232,0,502,0,20111223,2011-12-02 20:15:17.484
650,650,0,999,0,1970-01-22 07:00:00.000,14100,14100,0,0,0,999,1970-01-22 07:00:00.000
652,652,0,2,13,2011-12-01 13:58:43.408,1224,1224,0,506,0,201111172,2011-12-01 13:58:43.408
653,653,0,999,0,2011-12-03 00:47:31.010,2001,2003,0,11900,1,999,2011-12-02 22:58:46.438
654,654,0,66,12,2011-12-02 17:13:45.432,1231,1231,0,502,0,20111223,2011-12-02 17:13:45.432
655,655,0,97,11,2011-11-22 14:31:32.505,1209,1209,0,502,0,201111223,2011-11-22 14:31:32.505
656,656,0,67,12,2011-12-02 22:18:53.487,1230,1230,0,506,0,20111224,2011-12-02 22:18:53.487
657,657,0,999,0,2011-12-01 15:33:28.142,1221,1221,0,2003,0,999,2011-12-01 15:33:28.142
658,658,0,66,12,2011-12-02 17:46:57.256,1231,1231,0,502,0,20111223,2011-12-02 17:46:57.256
659,659,0,999,0,2011-12-02 01:23:34.724,1226,1226,0,2003,0,999,2011-12-02 01:23:34.724
660,660,0,999,0,2011-11-30 23:13:12.830,5200,5200,0,2003,0,999,2011-11-30 23:00:04.076
661,661,0,999,0,2011-12-02 09:01:43.411,1211,1211,0,2003,0,999,2011-12-02 09:01:43.411
662,662,0,999,0,2011-12-02 00:46:26.891,1226,1226,0,11900,0,999,2011-12-02 00:46:26.891
664,664,0,999,0,2011-12-02 11:06:56.685,1217,1217,0,2003,0,999,2011-12-02 11:06:56.685
665,665,0,2,13,2011-11-29 14:57:48.401,1218,1218,0,506,0,201111294,2011-11-29 14:57:48.401
666,666,0,999,0,2011-12-02 12:50:18.933,1214,1214,0,2003,0,999,2011-12-02 12:50:18.933
667,667,0,999,0,2011-12-02 07:07:45.629,1204,1204,0,2003,0,999,2011-12-02 07:07:45.629
668,668,0,67,12,2011-12-02 18:07:27.244,2500,500,0,506,0,20111215,2011-12-01 18:01:08.192
669,669,0,8,12,2011-12-02 11:21:51.031,1222,1222,0,506,1,201111301,2011-12-01 11:09:32.922
670,670,0,66,12,2011-12-02 19:52:47.583,1232,1232,0,502,0,20111223,2011-12-02 19:52:47.583
673,673,0,7,13,2011-11-21 08:19:38.682,1219,1219,0,502,0,201111214,2011-11-21 08:19:38.682
675,675,0,67,12,2011-12-03 00:47:54.814,509,1230,0,502,1,20111231,2011-01-03 12:57:42.0
676,676,0,2,13,2011-11-29 14:55:29.892,1218,1218,0,506,0,201111294,2011-11-29 14:55:29.892
677,677,0,2,13,2011-12-02 15:13:42.214,1228,1228,0,11900,0,999,2011-12-02 15:13:42.214
679,679,0,8,13,2011-12-02 07:30:21.508,1222,1222,0,506,0,201111301,2011-12-02 07:30:21.508
680,680,0,999,0,2011-12-02 13:12:45.009,1214,1214,0,2003,0,999,2011-12-02 13:12:45.009
681,681,0,999,0,2011-11-30 23:01:56.628,5200,5200,0,2003,0,999,2011-11-30 22:54:28.273
683,683,0,66,12,2011-12-02 19:50:13.261,1233,1233,0,502,0,20111223,2011-12-02 19:50:13.261
684,684,0,999,0,2011-11-30 23:08:46.427,5200,5200,0,2003,0,999,2011-11-30 22:46:25.068
685,685,0,999,0,2011-12-02 08:10:12.336,1210,1210,0,2003,0,999,2011-12-02 08:10:12.336
686,686,0,67,12,2011-12-02 22:19:29.990,1230,1230,0,502,0,20111224,2011-12-02 22:19:29.990
687,687,0,67,12,2011-12-02 23:00:30.328,15600,10100,0,502,0,20111215,2011-12-01 17:21:41.329
688,688,0,66,12,2011-12-02 20:32:45.851,1233,1233,0,502,0,20111223,2011-12-02 20:32:45.851
689,689,0,999,0,2011-12-02 16:14:23.410,2005,2003,0,10900,1,999,2011-11-30 17:52:57.720
690,690,0,999,0,2011-11-30 23:38:50.831,5200,5200,0,10900,0,999,2011-11-30 23:10:26.421
691,691,0,999,0,2011-12-02 00:01:28.040,1226,1226,0,2003,0,999,2011-12-02 00:01:28.040
